# FC27 club name | display | short | abbr | stadium | capacity | city | founded | kit primary | kit secondary | ui theme
Athletic Club|Athletic Club|Athletic|ATH|San Mamés|53331|Bilbao|1898|#EE2523|#FFFFFF|#D9171C
Atlético Madrid|Atlético de Madrid|Atlético|ATM|Riyadh Air Metropolitano|70692|Madrid|1903|#CB3524|#272E61|#CB3524
CA Osasuna|CA Osasuna|Osasuna|OSA|El Sadar|23576|Pamplona|1920|#D91A21|#0A346F|#C2161C
Deportivo Alavés|Deportivo Alavés|Alavés|ALA|Mendizorroza|19840|Vitoria-Gasteiz|1921|#0761AF|#FFFFFF|#0761AF
Elche CF|Elche CF|Elche|ELC|Martínez Valero|31388|Elche|1923|#FFFFFF|#05642C|#05642C
FC Barcelona|FC Barcelona|Barça|BAR|Spotify Camp Nou|99354|Barcelona|1899|#A50044|#004D98|#A50044
Getafe CF|Getafe CF|Getafe|GET|Coliseum|16500|Getafe|1983|#005999|#FFFFFF|#005999
Levante UD|Levante UD|Levante|LEV|Ciutat de València|26354|Valencia|1909|#B4053F|#004D98|#B4053F
Málaga CF|Málaga CF|Málaga|MAL|La Rosaleda|30044|Málaga|1994|#6CB4E4|#FFFFFF|#1E7FC4
RC Celta|RC Celta|Celta|CEL|Abanca-Balaídos|24870|Vigo|1923|#8AC3EE|#FFFFFF|#3B8FD0
RC Deportivo A Coruña|RC Deportivo|Deportivo|DEP|Abanca-Riazor|32912|A Coruña|1906|#1B45A8|#FFFFFF|#1B45A8
RCD Espanyol|RCD Espanyol|Espanyol|ESP|RCDE Stadium|40000|Cornellà de Llobregat|1900|#007FC8|#FFFFFF|#007FC8
Racing Santander|Real Racing Club|Racing|RAC|El Sardinero|22222|Santander|1913|#FFFFFF|#00843D|#00843D
Rayo Vallecano|Rayo Vallecano|Rayo|RAY|Estadio de Vallecas|14708|Madrid|1924|#FFFFFF|#E53027|#E53027
Real Betis Balompié|Real Betis|Betis|BET|Estadio de La Cartuja|70000|Seville|1907|#00954C|#FFFFFF|#00954C
Real Madrid|Real Madrid|Real Madrid|RMA|Santiago Bernabéu|78297|Madrid|1902|#FFFFFF|#FEBE10|#00529F
