# FC27 club name | display | short | abbr | stadium | capacity | city | founded | kit primary | kit secondary | ui theme
AC Milan|AC Milan|Milan|MIL|San Siro|75817|Milan|1899|#FB090B|#000000|#D6000D
AS Roma|AS Roma|Roma|ROM|Stadio Olimpico|70634|Rome|1927|#8E1F2F|#F0BC42|#8E1F2F
Atalanta BC|Atalanta|Atalanta|ATA|Gewiss Stadium|24950|Bergamo|1907|#1E71B8|#000000|#1E71B8
Bologna FC|Bologna FC 1909|Bologna|BOL|Stadio Renato Dall'Ara|38279|Bologna|1909|#A21C26|#1A2F48|#A21C26
Cagliari|Cagliari Calcio|Cagliari|CAG|Unipol Domus|16416|Cagliari|1920|#B01028|#002350|#B01028
Como|Como 1907|Como|COM|Stadio Giuseppe Sinigaglia|13602|Como|1907|#003DA5|#FFFFFF|#0A4A9E
Fiorentina|ACF Fiorentina|Fiorentina|FIO|Stadio Artemio Franchi|43147|Florence|1926|#482E92|#FFFFFF|#482E92
Frosinone|Frosinone Calcio|Frosinone|FRO|Stadio Benito Stirpe|16227|Frosinone|1928|#FFE600|#1B4A9C|#1B4A9C
Genoa|Genoa CFC|Genoa|GEN|Stadio Luigi Ferraris|36599|Genoa|1893|#A2142F|#002D62|#A2142F
Inter Milan|Inter|Inter|INT|San Siro|75817|Milan|1908|#0068A8|#000000|#0068A8
Juventus FC|Juventus|Juventus|JUV|Allianz Stadium|41507|Turin|1897|#FFFFFF|#000000|#1A1A1A
Lecce|US Lecce|Lecce|LEC|Stadio Via del Mare|31533|Lecce|1908|#FFED00|#E30613|#E30613
Monza|AC Monza|Monza|MON|U-Power Stadium|17102|Monza|1912|#E30613|#FFFFFF|#E30613
Parma Calcio|Parma Calcio 1913|Parma|PAR|Stadio Ennio Tardini|22352|Parma|1913|#FFFFFF|#FFD200|#1B3F8F
SS Lazio|SS Lazio|Lazio|LAZ|Stadio Olimpico|70634|Rome|1900|#87D8F7|#FFFFFF|#3BA7DA
SSC Napoli|SSC Napoli|Napoli|NAP|Stadio Diego Armando Maradona|54726|Naples|1926|#12A0D7|#FFFFFF|#0E86C2
Sassuolo|US Sassuolo|Sassuolo|SAS|MAPEI Stadium – Città del Tricolore|21584|Reggio Emilia|1920|#00A752|#000000|#00A752
Torino FC|Torino FC|Torino|TOR|Stadio Olimpico Grande Torino|27958|Turin|1906|#8A1E03|#FFFFFF|#8A1E03
Udinese Calcio|Udinese Calcio|Udinese|UDI|Bluenergy Stadium|25144|Udine|1896|#000000|#FFFFFF|#1A1A1A
Venezia FC|Venezia FC|Venezia|VEN|Stadio Pier Luigi Penzo|11150|Venice|1907|#000000|#F28C00|#E36E00
