# FC27 club name | display | short | abbr | stadium | capacity | city | founded | kit primary | kit secondary | ui theme
Cercle Brugge KSV|Cercle Brugge|Cercle|CER|Jan Breydelstadion|29062|Bruges|1899|#00843D|#000000|#00843D
Club Brugge KV|Club Brugge|Club Brugge|CLU|Jan Breydelstadion|29062|Bruges|1891|#0055A5|#000000|#0055A5
KAA Gent|KAA Gent|Gent|GNT|Planet Group Arena|20185|Ghent|1864|#0055A5|#FFFFFF|#0055A5
KRC Genk|KRC Genk|Genk|GNK|Cegeka Arena|23718|Genk|1988|#0055A5|#FFFFFF|#0055A5
KV Kortrijk|KV Kortrijk|Kortrijk|KVK|Guldensporenstadion|9399|Kortrijk|1971|#E30613|#FFFFFF|#E30613
KV Mechelen|KV Mechelen|Mechelen|KVM|AFAS Stadion Achter de Kazerne|16672|Mechelen|1904|#E30613|#FFD100|#E30613
KVC Westerlo|KVC Westerlo|Westerlo|WES|Het Kuipje|8035|Westerlo|1933|#FFD100|#0055A5|#0055A5
Lommel SK|Lommel SK|Lommel|LOM|Soevereinstadion|8000|Lommel|2003|#00843D|#FFFFFF|#00843D
Oud-Heverlee Leuven|OH Leuven|OH Leuven|OHL|Den Dreef|10020|Leuven|2002|#FFFFFF|#E30613|#E30613
RAAL La Louvière|RAAL La Louvière|La Louvière|RAAL|Stade du Tivoli|8050|La Louvière|2009|#00843D|#FFFFFF|#00843D
RSC Anderlecht|RSC Anderlecht|Anderlecht|RSCA|Lotto Park|21500|Brussels|1908|#4F2D7F|#FFFFFF|#4F2D7F
Royal Antwerp FC|Royal Antwerp FC|Antwerp|RAFC|Bosuilstadion|16649|Antwerp|1880|#E30613|#FFFFFF|#E30613
Royal Charleroi Sporting Club|Sporting Charleroi|Charleroi|CHA|Stade du Pays de Charleroi|14000|Charleroi|1904|#000000|#FFFFFF|#1A1A1A
SV Zulte Waregem|SV Zulte Waregem|Zulte Waregem|ZWA|Elindus Arena|12414|Waregem|2001|#E30613|#00843D|#E30613
Sint-Truidense VV|Sint-Truidense VV|STVV|STV|Stayen|14600|Sint-Truiden|1924|#FFD100|#0055A5|#0055A5
Standard de Liège|Standard Liège|Standard|STA|Stade Maurice Dufrasne|27670|Liège|1898|#E30613|#FFFFFF|#E30613
Union Saint-Gilloise|Union Saint-Gilloise|Union SG|USG|Stade Joseph Marien|9400|Brussels|1897|#FFD100|#0055A5|#0055A5
Waasland-Beveren|SK Beveren|Beveren|BEV|Freethiel Stadion|8190|Beveren|2010|#FFD100|#0055A5|#0055A5
Aberdeen FC|Aberdeen|Aberdeen|ABE|Pittodrie Stadium|20866|Aberdeen|1903|#E30613|#FFFFFF|#E30613
Celtic FC|Celtic|Celtic|CEL|Celtic Park|60411|Glasgow|1887|#018749|#FFFFFF|#018749
