# FC27 club | manager | nationality | age | preferred formation | tactical vision
Arsenal FC|Mikel Arteta|Spain|44|4-3-3 Attack|Possession
Aston Villa|Unai Emery|Spain|54|4-2-3-1 Wide|Balanced
AFC Bournemouth|Marco Rose|Germany|50|4-2-3-1 Narrow|Gegenpress
Brentford|Keith Andrews|Republic of Ireland|46|4-2-3-1 Wide|Direct
Brighton & Hove Albion|Fabian Hürzeler|Germany|33|4-2-3-1 Wide|Possession
Chelsea FC|Xabi Alonso|Spain|44|3-4-2-1|Possession
Coventry City|Frank Lampard|England|48|4-2-3-1 Wide|Balanced
Crystal Palace|Pierre Sage|France|47|3-4-2-1|Counter-Attack
Everton FC|David Moyes|Scotland|63|4-2-3-1 Wide|Park the Bus
Fulham FC|Álvaro Arbeloa|Spain|43|4-3-3 Holding|Balanced
Hull City|Sergej Jakirović|Bosnia and Herzegovina|49|4-2-3-1 Wide|Balanced
Ipswich Town|Gary O'Neil|England|43|4-2-3-1 Wide|Counter-Attack
Leeds United|Daniel Farke|Germany|49|4-3-3 Holding|Possession
Liverpool FC|Andoni Iraola|Spain|44|4-2-3-1 Wide|Gegenpress
Manchester City|Enzo Maresca|Italy|46|4-3-3 Holding|Possession
Manchester United|Michael Carrick|England|45|4-2-3-1 Wide|Balanced
Newcastle United|Matthias Jaissle|Germany|38|4-3-3 Attack|Gegenpress
Nottingham Forest|Vítor Pereira|Portugal|58|3-4-3|Counter-Attack
Sunderland AFC|Régis Le Bris|France|50|4-3-3 Holding|Balanced
Tottenham Hotspur|Roberto De Zerbi|Italy|47|4-2-3-1 Wide|Possession
FC Barcelona|Hansi Flick|Germany|61|4-2-3-1 Narrow|Gegenpress
Real Madrid|José Mourinho|Portugal|63|4-2-3-1 Wide|Counter-Attack
Atlético Madrid|Diego Simeone|Argentina|56|4-4-2|Park the Bus
Real Betis Balompié|Manuel Pellegrini|Chile|73|4-2-3-1 Wide|Possession
Athletic Club|Edin Terzić|Germany|43|4-2-3-1 Wide|Gegenpress
Real Sociedad|Pellegrino Matarazzo|United States|48|4-3-3 Holding|Balanced
Villarreal CF|Íñigo Pérez|Spain|38|4-4-2|Gegenpress
Rayo Vallecano|Beñat San José|Spain|46|4-2-3-1 Wide|Gegenpress
Deportivo Alavés|Eduardo Coudet|Argentina|52|4-4-2|Direct
RC Celta|Claudio Giráldez|Spain|38|3-4-3|Possession
Getafe CF|José Bordalás|Spain|62|4-4-2|Park the Bus
RCD Espanyol|Manolo González|Spain|47|4-4-2|Counter-Attack
CA Osasuna|Alessio Lisci|Italy|41|4-2-3-1 Wide|Balanced
Elche CF|Eder Sarabia|Spain|45|3-5-2|Possession
Valencia CF|Carlos Corberán|Spain|43|4-4-2|Balanced
Sevilla FC|Matías Almeyda|Argentina|52|4-4-2|Gegenpress
RC Deportivo A Coruña|Antonio Hidalgo|Spain|46|4-2-3-1 Wide|Possession
Málaga CF|Juan Francisco Funes|Spain|53|4-4-2|Balanced
Racing Santander|José Alberto López|Spain|44|4-3-3 Attack|Possession
Bayern München|Vincent Kompany|Belgium|40|4-2-3-1 Wide|Possession
Borussia Dortmund|Niko Kovač|Croatia|54|3-4-2-1|Balanced
RB Leipzig|Martín Demichelis|Argentina|45|4-2-3-1 Wide|Gegenpress
VfB Stuttgart|Sebastian Hoeneß|Germany|44|4-2-3-1 Wide|Possession
TSG 1899 Hoffenheim|Christian Ilzer|Austria|48|3-5-2|Gegenpress
SC Freiburg|Julian Schuster|Germany|41|4-2-3-1 Wide|Balanced
Borussia Mönchengladbach|Eugen Polanski|Poland|40|4-2-3-1 Wide|Balanced
1. FSV Mainz 05|Urs Fischer|Switzerland|60|3-5-2|Counter-Attack
FC Augsburg|Manuel Baum|Germany|47|3-4-3|Balanced
