# club A | club B | derby name | intensity (1-3)
Arsenal FC|Tottenham Hotspur|North London Derby|3
Arsenal FC|Chelsea FC|London Derby|2
Chelsea FC|Tottenham Hotspur|London Derby|2
Chelsea FC|Fulham FC|West London Derby|1
Liverpool FC|Everton FC|Merseyside Derby|3
Liverpool FC|Manchester United|North West Derby|3
Manchester City|Manchester United|Manchester Derby|3
Manchester United|Leeds United|Roses Rivalry|2
Newcastle United|Sunderland AFC|Tyne-Wear Derby|3
Aston Villa|Birmingham City|Second City Derby|3
Aston Villa|West Bromwich Albion|West Midlands Derby|2
Nottingham Forest|Derby County|East Midlands Derby|3
Nottingham Forest|Notts County|Nottingham Derby|1
Brighton & Hove Albion|Crystal Palace|M23 Derby|3
Ipswich Town|Norwich City|East Anglian Derby|3
Southampton FC|Portsmouth|South Coast Derby|3
AFC Bournemouth|Southampton FC|South Coast Derby|1
West Ham United|Millwall FC|Dockers Derby|3
West Ham United|Tottenham Hotspur|London Derby|2
Crystal Palace|Millwall FC|South London Derby|1
Charlton Athletic|Millwall FC|South London Derby|2
Fulham FC|Queens Park Rangers|West London Derby|1
Brentford|Queens Park Rangers|West London Derby|1
Brentford|Fulham FC|West London Derby|1
Cardiff City|Swansea City|South Wales Derby|3
Sheffield United|Sheffield Wednesday|Steel City Derby|3
Blackburn Rovers|Burnley|East Lancashire Derby|3
Wolverhampton Wanderers|West Bromwich Albion|Black Country Derby|3
Bristol City|Bristol Rovers|Bristol Derby|3
Stoke City|Port Vale|Potteries Derby|3
Preston North End|Blackpool FC|West Lancashire Derby|3
Bolton Wanderers|Wigan Athletic|Lancashire Derby|2
Leicester City|Nottingham Forest|East Midlands Derby|2
Leicester City|Coventry City|M69 Derby|2
Watford|Luton Town|Beds-Herts Derby|3
Oxford United|Swindon Town|A420 Derby|2
Plymouth Argyle|Exeter City|Devon Derby|2
Hull City|Grimsby Town|Humber Derby|1
Middlesbrough FC|Sunderland AFC|Tees-Wear Derby|2
Huddersfield Town|Leeds United|West Yorkshire Derby|1
Bradford City|Huddersfield Town|West Yorkshire Derby|2
AFC Wimbledon|Milton Keynes Dons|Dons Derby|3
Cambridge United|Peterborough United|Cambridgeshire Derby|2
Mansfield Town|Chesterfield|Derby of the Derbyshire|2
Real Madrid|FC Barcelona|El Clásico|3
Real Madrid|Atlético Madrid|El Derbi Madrileño|3
FC Barcelona|RCD Espanyol|Derbi Barceloní|2
Athletic Club|Real Sociedad|Derbi Vasco|3
Real Betis Balompié|Sevilla FC|El Gran Derbi|3
Valencia CF|Levante UD|Derbi Valenciano|2
Valencia CF|Villarreal CF|Derbi de la Comunitat|2
RC Celta|RC Deportivo A Coruña|O Noso Derbi|3
Real Oviedo|Real Sporting de Gijón|Derbi Asturiano|3
CD Tenerife|UD Las Palmas|Derbi Canario|3
Atlético Madrid|Getafe CF|Derbi Madrileño|1
Rayo Vallecano|Getafe CF|Derbi del Sur|1
Bayern München|Borussia Dortmund|Der Klassiker|3
Borussia Dortmund|Schalke 04|Revierderby|3
Hamburger SV|Werder Bremen|Nordderby|3
Hamburger SV|FC St. Pauli|Hamburger Stadtderby|3
1. FC Köln|Borussia Mönchengladbach|Rheinderby|3
1. FC Köln|Bayer 04 Leverkusen|Rheinderby|2
1. FC Köln|Fortuna Düsseldorf|Rheinderby|2
1. FC Union Berlin|Hertha BSC|Berliner Derby|3
